GROUP	ALGO	K	C	LAMBDA	SPEARMAN_CORR	SPEARMAN_P	CONF_INT_LOWER	CONF_INT_UPPER
QB4		7	0.7	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		8	0.7	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		9	0.7	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		10	0.7	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		3	0.9	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		4	0.9	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		5	0.9	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		6	0.9	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		7	0.9	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		8	0.9	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4	prank	10	0.9	0.5	0.904761905	0.002008276	0.642409292	0.977295768
QB4		2	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		3	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		4	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		5	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		6	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		7	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		8	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		9	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		10	0.5	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		2	0.7	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		3	0.7	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		4	0.7	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		5	0.7	0.6	0.904761905	0.002008276	0.642409292	0.977295768
QB4		6	0.7	0.6	0.904761905	0.002008276	0.642409292	0.977295768
