ALGO	QUESTION	K	C	L	W_MEAN_RHO	CONF_INT_GAP	RHO_LOWER	RHO_UPPER	ST_DEV	ST_ERR	Z_SCORE	COMB_P	RHO_RANGE
	ALL	6	0.7	0	0.608302597	0.104104907	0.50419769	0.712407504	0.118768188	0.053114748	11.45261185	2.28E-30	0.405 - 0.738
	ALL	7	0.7	0	0.608302597	0.104104907	0.50419769	0.712407504	0.118768188	0.053114748	11.45261185	2.28E-30	0.405 - 0.738
	ALL	8	0.7	0	0.608302597	0.104104907	0.50419769	0.712407504	0.118768188	0.053114748	11.45261185	2.28E-30	0.405 - 0.738
	ALL	9	0.7	0	0.608302597	0.104104907	0.50419769	0.712407504	0.118768188	0.053114748	11.45261185	2.28E-30	0.405 - 0.738
	ALL	10	0.7	0	0.608302597	0.104104907	0.50419769	0.712407504	0.118768188	0.053114748	11.45261185	2.28E-30	0.405 - 0.738
	ALL	0	0.9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
coupling	ALL	1	0.9	0	0.552138878	0.09037837	0.461760509	0.642517248	0.103108254	0.046111413	11.97401772	4.86E-33	0.429 - 0.713
	ALL	2	0.9	0	0.595604185	0.0942242	0.501379985	0.689828385	0.107495773	0.048073571	12.3894308	2.98E-35	0.405 - 0.729
	ALL	3	0.9	0	0.589836989	0.101099526	0.488737463	0.690936515	0.115339496	0.051581391	11.43507342	2.79E-30	0.405 - 0.729
	ALL	4	0.9	0	0.589836989	0.101099526	0.488737463	0.690936515	0.115339496	0.051581391	11.43507342	2.79E-30	0.405 - 0.729
	ALL	5	0.9	0	0.589836989	0.101099526	0.488737463	0.690936515	0.115339496	0.051581391	11.43507342	2.79E-30	0.405 - 0.729
	ALL	6	0.9	0	0.576503656	0.110754808	0.465748847	0.687258464	0.126354735	0.056507555	10.20224027	1.94E-24	0.405 - 0.729
	ALL	7	0.9	0	0.576503656	0.110754808	0.465748847	0.687258464	0.126354735	0.056507555	10.20224027	1.94E-24	0.405 - 0.729
	ALL	8	0.9	0	0.576503656	0.110754808	0.465748847	0.687258464	0.126354735	0.056507555	10.20224027	1.94E-24	0.405 - 0.729
	ALL	9	0.9	0	0.576503656	0.110754808	0.465748847	0.687258464	0.126354735	0.056507555	10.20224027	1.94E-24	0.405 - 0.729
rvs-simrank	ALL	10	0.9	0	0.569836989	0.117043389	0.4527936	0.686880378	0.133529069	0.059716015	9.542448366	1.39E-21	0.405 - 0.729
	ALL	0	0.1	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.1	0.1	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	2	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	3	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	4	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	5	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	6	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	7	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	8	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	9	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	10	0.1	0.1	0.621900481	0.074170726	0.547729755	0.696071207	0.084617747	0.037842207	16.43404363	1.09E-60	0.524 - 0.729
	ALL	0	0.3	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA - NA
	ALL	1	0.3	0.1	0.617667677	0.0704561	0.547211577	0.688123777	0.080379913	0.03594699	17.18273716	3.58E-66	0.524 - 0.729
	ALL	2	0.3	0.1	0.595604185	0.113598719	0.482005466	0.709202904	0.129599213	0.05795853	10.27638527	9.00E-25	0.357 - 0.729
